trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
timestamp: 1354636145, sequence: 104088, offset:  484447160
timestamp: 1354636146, sequence: 104089, offset:  484442267
timestamp: 1354636147, sequence: 104090, offset:  484434373
timestamp: 1354636148, sequence: 104091, offset:  484428480
timestamp: 1354636149, sequence: 104092, offset:  484421586
timestamp: 1354636150, sequence: 104093, offset:  484415693
timestamp: 1354636151, sequence: 104094, offset:  484408801
timestamp: 1354636152, sequence: 104095, offset:  484402907
timestamp: 1354636153, sequence: 104096, offset:  484396013
timestamp: 1354636154, sequence: 104097, offset:  484390122
timestamp: 1354636155, sequence: 104098, offset:  484383228
timestamp: 1354636156, sequence: 104099, offset:  484377336
timestamp: 1354636157, sequence: 104100, offset:  484369444
timestamp: 1354636158, sequence: 104101, offset:  484364552
timestamp: 1354636159, sequence: 104102, offset:  484358660
timestamp: 1354636160, sequence: 104103, offset:  484350768
timestamp: 1354636161, sequence: 104104, offset:  484344876
timestamp: 1354636162, sequence: 104105, offset:  484339984
timestamp: 1354636163, sequence: 104106, offset:  484334092
timestamp: 1354636164, sequence: 104107, offset:  484328201
timestamp: 1354636165, sequence: 104108, offset:  484322311
timestamp: 1354636166, sequence: 104109, offset:  484317418
timestamp: 1354636167, sequence: 104110, offset:  484310527
timestamp: 1354636168, sequence: 104111, offset:  484303637
timestamp: 1354636169, sequence: 104112, offset:  484299746
timestamp: 1354636170, sequence: 104113, offset:  484293855
timestamp: 1354636171, sequence: 104114, offset:  484286964
timestamp: 1354636172, sequence: 104115, offset:  484281074
timestamp: 1354636173, sequence: 104116, offset:  484275184
timestamp: 1354636174, sequence: 104117, offset:  484268293
timestamp: 1354636175, sequence: 104118, offset:  484261403
timestamp: 1354636176, sequence: 104119, offset:  484255514
timestamp: 1354636177, sequence: 104120, offset:  484244624
timestamp: 1354636178, sequence: 104121, offset:  484239734
timestamp: 1354636179, sequence: 104122, offset:  484231844
timestamp: 1354636180, sequence: 104123, offset:  484225955
timestamp: 1354636181, sequence: 104124, offset:  484215065
timestamp: 1354636182, sequence: 104125, offset:  484208176
timestamp: 1354636183, sequence: 104126, offset:  484201287
timestamp: 1354636184, sequence: 104127, offset:  484196398
timestamp: 1354636185, sequence: 104128, offset:  484189510
timestamp: 1354636186, sequence: 104129, offset:  484183620
timestamp: 1354636187, sequence: 104130, offset:  484176732
timestamp: 1354636188, sequence: 104131, offset:  484170842
timestamp: 1354636189, sequence: 104132, offset:  484163955
timestamp: 1354636190, sequence: 104133, offset:  484157067
timestamp: 1354636191, sequence: 104134, offset:  484150178
